,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_impurity_decrease,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,10,6.704198837280273,0.29715684288050986,0.39001784324645994,0.012063910101133361,0.22,0.24,20,"{'min_impurity_decrease': 0.22, 'max_features': 0.24, 'max_depth': 20}",0.38665934246908484,,,,,,,97,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
1,0,10,6.466721391677856,0.05258935243051704,0.3892035484313965,0.005083742188587169,0.18,0.65,14,"{'min_impurity_decrease': 0.18, 'max_features': 0.65, 'max_depth': 14}",0.3655798870529613,,,,,,,123,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
2,0,10,6.474680376052857,0.11624413239185491,0.38742637634277344,0.004766735034484037,0.25,0.55,10,"{'min_impurity_decrease': 0.25, 'max_features': 0.55, 'max_depth': 10}",0.3655798870529613,,,,,,,124,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
3,0,10,6.43070011138916,0.04867509295310808,0.38917994499206543,0.00605614605787156,0.17,0.31,23,"{'min_impurity_decrease': 0.17, 'max_features': 0.31, 'max_depth': 23}",0.38665934246908484,,,,,,,125,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
4,0,10,6.407373237609863,0.010165680993520072,0.47618799209594725,0.12318370395860413,0.2,0.56,6,"{'min_impurity_decrease': 0.2, 'max_features': 0.56, 'max_depth': 6}",0.3655798870529613,,,,,,,126,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
5,0,10,6.438960266113281,0.12653058617631993,0.4118183135986328,0.04900338913145688,0.03,0.49,17,"{'min_impurity_decrease': 0.03, 'max_features': 0.49, 'max_depth': 17}",0.3667663474829953,,,,,,,127,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
6,0,10,6.4141845703125,0.06142504563820176,0.3994746208190918,0.019075598037765703,0.23,0.26,7,"{'min_impurity_decrease': 0.23, 'max_features': 0.26, 'max_depth': 7}",0.38665934246908484,,,,,,,128,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
7,0,10,6.513052940368652,0.11163983033136866,0.38899455070495603,0.0016585650692734356,0.01,sqrt,,"{'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': None}",0.3667663474829953,,,,,,,129,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
8,0,10,6.573470973968506,0.21658320465188535,0.4102231502532959,0.04573677299977291,0.09,0.27,8,"{'min_impurity_decrease': 0.09, 'max_features': 0.27, 'max_depth': 8}",0.38665934246908484,,,,,,,130,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
9,0,10,7.023259449005127,0.4964485610795373,0.3932375907897949,0.011392392142241385,0.01,0.37,23,"{'min_impurity_decrease': 0.01, 'max_features': 0.37, 'max_depth': 23}",0.3667663474829953,,,,,,,131,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
10,0,10,6.493131923675537,0.12760284607058212,0.4015183448791504,0.02791629646249749,0.18,auto,16,"{'min_impurity_decrease': 0.18, 'max_features': 'auto', 'max_depth': 16}",0.35403602482605123,,,,,,,133,0.9371146948749346,0.8573880136518868,0.8573880136518868,0.9584867230257738,0.9466467887422853,0.9114048467893534,0.04462136339365016
11,0,10,6.430462121963501,0.014052365751699991,0.41826643943786623,0.049183853972036715,0.24,0.36,22,"{'min_impurity_decrease': 0.24, 'max_features': 0.36, 'max_depth': 22}",0.3667663474829953,,,,,,,143,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
12,0,10,6.491560697555542,0.09743989206760036,0.41337075233459475,0.050255003657507034,0.19,0.24,11,"{'min_impurity_decrease': 0.19, 'max_features': 0.24, 'max_depth': 11}",0.38665934246908484,,,,,,,134,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
13,0,10,6.468132400512696,0.07401027659538637,0.39748382568359375,0.018675068370505053,0.18,0.63,6,"{'min_impurity_decrease': 0.18, 'max_features': 0.63, 'max_depth': 6}",0.3655798870529613,,,,,,,135,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
14,0,10,6.472889614105225,0.06628984423018047,0.4125982284545898,0.048825652641655636,0.16,0.61,20,"{'min_impurity_decrease': 0.16, 'max_features': 0.61, 'max_depth': 20}",0.3655798870529613,,,,,,,136,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
15,0,10,6.483296155929565,0.07411688410880378,0.3943036079406738,0.008044826295336443,0.25,0.51,24,"{'min_impurity_decrease': 0.25, 'max_features': 0.51, 'max_depth': 24}",0.3655798870529613,,,,,,,137,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
16,0,10,6.533951616287231,0.07596061998321603,0.3910976886749268,0.0094090281471153,0.19,0.46,,"{'min_impurity_decrease': 0.19, 'max_features': 0.46, 'max_depth': None}",0.3667663474829953,,,,,,,138,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
17,0,10,6.511870908737182,0.14235972407565695,0.3901804447174072,0.001989151450848216,0.13,0.27,17,"{'min_impurity_decrease': 0.13, 'max_features': 0.27, 'max_depth': 17}",0.38665934246908484,,,,,,,139,0.9325053893811664,0.869714280399397,0.869714280399397,0.9355944739328027,0.9479297306630206,0.9110916309551568,0.034176466265632706
18,0,10,6.498340511322022,0.1118933161447487,0.4125041961669922,0.050552133723455364,0.06,0.5,12,"{'min_impurity_decrease': 0.06, 'max_features': 0.5, 'max_depth': 12}",0.3655798870529613,,,,,,,140,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
19,0,10,6.46638298034668,0.07715164662009726,0.4104318141937256,0.04618019742894069,0.17,0.64,8,"{'min_impurity_decrease': 0.17, 'max_features': 0.64, 'max_depth': 8}",0.3655798870529613,,,,,,,141,0.9363578377584003,0.8618981966798501,0.8618981966798501,0.9419153311333648,0.9468835940105906,0.9097906312524111,0.03924556349124569
20,0,10,6.5291070461273195,0.05756173638483185,0.39478139877319335,0.02163194257852014,0.18,sqrt,15,"{'min_impurity_decrease': 0.18, 'max_features': 'sqrt', 'max_depth': 15}",0.3667663474829953,,,,,,,142,0.9379443265417291,0.8649032794564937,0.8649032794564937,0.9346241266247445,0.9463220225346163,0.9097394069228155,0.03680655154372991
